iso270012022_isms_accountability,responsible_named_person,accountable_named_person,_row_id,_deleted_at
4 Context of the organisation,,,6cd9beae-ca3c-4870-b51d-9845ca96706d,
4.1 Understanding the organisation and its context,,,ec626d04-c7f2-4492-9f92-faad7330fa17,
4.2 Understanding the needs and expectations of interested parties,,,3efab2f8-af9c-4327-a88b-64b9f8afc848,
4.3 Determining the scope of the information security management system,,,4568fa2c-1a5d-4ffd-9246-f810cdb060e5,
4.4 Information security management system,,,994c2955-d800-4321-be05-0b326a7fbf31,
5 Leadership,,,2ea8bf60-1d21-4012-9369-d721358de392,
5.1 Leadership and commitment,,,4eaab7cb-dadd-4758-ab90-79e25d055350,
5.2 Policy,,,44d70c19-3f33-4172-b0ff-2571bd48666f,
"5.3 Organisational roles, responsibilities and authorities",,,4cf71e35-f982-43b6-8a15-181ab7a42ecf,
6 Planning,,,f80b50ca-9c01-4611-bd0f-589fac2ce8ee,
6.1 Actions to address risks and opportunities,,,28630089-f1eb-4339-8447-3d484e9277cc,
6.1.1 General,,,b4811c58-9b5e-4829-88e5-f994a8340c69,
6.1.2 Information security risk assessment,,,9e2d8b89-0b45-4971-9fc0-091fdf9bc24d,
6.1.3 Information security risk treatment,,,0f7af369-65f8-4535-8591-164a3f8c014a,
6.2 Information security objectives and planning to achieve them,,,59f296e2-5613-4577-93e0-2d4ee8a0b422,
6.2 General,,,f154a4ac-a295-4b59-a8c3-346cc34d808c,
"6.3 When the organization determines the need for changes to the information security management system, the changes shall be carried out in a planned manner.",,,43f3d7e5-9aa7-4357-aa9a-e03dba41c719,
7 Support,,,dda454d9-67fd-4a87-8771-b113772fc56a,
7.1 Resources,,,f2a65069-8296-42a7-af69-91a175b651e6,
7.2 Competence,,,2305413b-4927-4615-9cbc-2b8f4c927bd8,
7.3 Awareness,,,7695979a-1799-44bb-940e-224aebdb0193,
7.4 Communication,,,8aa68f4e-0643-4302-a639-c1ae1303d4c3,
7.5.1 Documented information General,,,5333dc54-bb7a-4895-9e5e-498acae5b007,
7.5.2 Creating and updating,,,8bec621b-57e2-4237-815d-f1480f767f73,
7.5.3 Control of documented information,,,7a85dfbc-e130-478b-9b58-28cc8a1a2bd8,
8 Operation,,,e8ab6372-9f89-416a-a769-285637a12d52,
8.1 Operational planning and control,,,c5d24fa0-454c-41ba-accf-59b8e680a61a,
8.2 Information security risk assessment,,,b4eaa3b2-5cea-4780-8754-35129c33f7c5,
8.3 Information security risk treatment,,,2cba4aae-49dc-433a-bbac-6f9934ebabdd,
9 Performance evaluation,,,85bf5695-be75-474e-b107-68e0648aa984,
"9.1 Monitoring, measurement, analysis and evaluation",,,e3b3d486-f451-4d1f-ac94-7966bd4512f7,
9.2 Internal Audit,,,8006d1d2-4964-4758-9820-105193f0eb89,
9.2.1 Internal Audit General,,,f10a09a3-32fa-47b1-afd5-fe0edaceaf34,
9.2.2 Internal audit programme,,,0b69d709-2fb2-428f-8717-408eee290765,
9.3 Management review,,,a9f4e967-457e-4787-8523-3d7aa1fad7c1,
9.3.1 General,,,ef49a4e2-2192-4c6e-9397-0026dc37918f,
9.3.2 Management review inputs,,,d9d9fa02-3959-4533-96b6-7529a85bc9de,
9.3.3 Management review results,,,71099ee8-096b-47e4-bea1-f6ba5a0a8a94,
10 Improvement,,,dd59d8bd-11cd-4eae-a7b1-43b0a58adf72,
10.1 Continual improvement,,,a1f06dfb-40f3-488c-a789-47406faa26fa,
10.2 Nonconformity and corrective action,,,dbd9e58b-9785-42fb-96d9-469760691fe4,
