iso270012022_isms_accountability,responsible_named_person,accountable_named_person,consulted_named_person,informed_named_person,support_named_person,owner_name,owner_email,_row_id,_deleted_at
4 Context of the organisation,"","","","","","","",18171a91-6fc8-4df1-bfec-919d84e45230,""
4.1 Understanding the organisation and its context,"","","","","","","",bb7946dd-bf9d-4309-85f1-f96e8ddf9f64,""
4.2 Understanding the needs and expectations of interested parties,"","","","","","","",64e311a2-d970-4011-bae8-625657a87817,""
4.3 Determining the scope of the information security management system,"","","","","","","",589d73bd-9755-40df-b3fe-d47e45dc703b,""
4.4 Information security management system,"","","","","","","",5e4433f0-520d-46e0-ae80-d624d8aa0f5e,""
5 Leadership,"","","","","","","",06f47375-d65e-4f3b-adaa-4b75742701d9,""
5.1 Leadership and commitment,"","","","","","","",a2acbbb5-66a6-44c1-8ac0-8c74b56bd698,""
5.2 Policy,"","","","","","","",05245152-4114-42cc-a27e-d3a8352d787b,""
"5.3 Organisational roles, responsibilities and authorities","","","","","","","",2ec83a66-589e-4557-a155-9bede8f300d0,""
6 Planning,"","","","","","","",30202ed9-012f-482d-9e3e-789685ecba08,""
6.1 Actions to address risks and opportunities,"","","","","","","",6d6637af-0125-4022-b08d-5639ffa60300,""
6.1.1 General,"","","","","","","",4ab81edc-218d-4f50-94a2-5d6b88ee8ec1,""
6.1.2 Information security risk assessment,"","","","","","","",a241830d-ed67-41fe-8cdb-567af950f4dc,""
6.1.3 Information security risk treatment,"","","","","","","",e41e88ae-d5a0-4049-9299-9d2ec7c0d22b,""
6.2 Information security objectives and planning to achieve them,"","","","","","","",8df841c7-9d25-48ce-94e0-084754f15fa5,""
6.2 General,"","","","","","","",57a28c99-da73-4ee3-aa8c-2da6878e41f1,""
"6.3 When the organization determines the need for changes to the information security management system, the changes shall be carried out in a planned manner.","","","","","","","",01a5c6f4-aa1d-4cb7-a6a1-60f53324234a,""
7 Support,"","","","","","","",644f04dd-8005-450e-b07e-1d997c57a649,""
7.1 Resources,"","","","","","","",c62a81e4-fd09-4b3e-98a5-8997f5f1de1d,""
7.2 Competence,"","","","","","","",d7bef95c-e605-461b-a33d-d90e11ae9c04,""
7.3 Awareness,"","","","","","","",84ded10b-3438-440b-9606-25871eade0c4,""
7.4 Communication,"","","","","","","",7e96e08a-2cd4-43ca-9596-65cc3bead1f0,""
7.5.1 Documented information General,"","","","","","","",96816b88-0bf7-48dd-8335-8fd923cc8484,""
7.5.2 Creating and updating,"","","","","","","",1ff2c4ad-db3e-47ad-a180-895595eab075,""
7.5.3 Control of documented information,"","","","","","","",505bd4ed-abd9-4d91-8bbf-6f68de6adf57,""
8 Operation,"","","","","","","",2c9a1864-6376-4a7c-8804-9b6592697f3d,""
8.1 Operational planning and control,"","","","","","","",115d4c5d-fc79-40be-a00d-66eec95d9e90,""
8.2 Information security risk assessment,"","","","","","","",4800c1ca-9fac-494f-8c6f-23cbeaf0d4bf,""
8.3 Information security risk treatment,"","","","","","","",a1921a07-31a2-4cb1-aa9c-c9cd986c425d,""
9 Performance evaluation,"","","","","","","",02e7dc52-745f-4f5c-8dfd-7a4314cb79ea,""
"9.1 Monitoring, measurement, analysis and evaluation","","","","","","","",bc90f047-3a81-4a63-af54-3241d09f69b7,""
9.2 Internal Audit,"","","","","","","",acaf6ad6-6a43-4cd8-a631-f8a3e24647ed,""
9.2.1 Internal Audit General,"","","","","","","",b9549918-4194-4ba6-96ce-c59bd6790cc8,""
9.2.2 Internal audit programme,"","","","","","","",8b2ecaed-96ec-4a98-be7b-bb86502e4436,""
9.3 Management review,"","","","","","","",ce02868c-850d-4579-82ec-f8caec0eccde,""
9.3.1 General,"","","","","","","",5ff19db0-df3d-4292-a93d-47c36504afc8,""
9.3.2 Management review inputs,"","","","","","","",d4932829-59d6-4eea-96e9-b378cfa80a48,""
9.3.3 Management review results,"","","","","","","",76d9ad89-05b2-4205-afe8-4a1b6d4e386f,""
10 Improvement,"","","","","","","",9c80b9d5-0041-4b42-abc4-9e9953732d3d,""
10.1 Continual improvement,"","","","","","","",eef9d0f5-abf9-43f8-98a0-9a3c6fd79f50,""
10.2 Nonconformity and corrective action,"","","","","","","",19403618-b07e-4b9c-89ec-b6f5db198cce,""
5 Organisational Controls,"","","","","","","",f151b652-6772-4101-8064-06927edff0fd,""
5.1 Policies for information security,"","","","","","","",343edfa4-6bf0-4698-99db-80e8d0f0b0d4,""
5.2 Information security roles and responsibilities,"","","","","","","",96953447-7b7f-4b8e-b0f8-96c7c1e8392f,""
5.3 Segregation of duties,"","","","","","","",76a6f099-2fd0-435f-ae79-0ae20469d9cd,""
5.4 Management Responsibilities,"","","","","","","",fd38bb15-10fd-46f1-b44b-ce6c80594be7,""
5.5 Contact with Authorities,"","","","","","","",d59d9c81-77ae-41c1-a35c-9a9ea36a3a22,""
5.6 Contact with special interest groups,"","","","","","","",856484ed-f1b4-44a2-a6b0-f44c081f4cd2,""
5.7 Threat intelligence,"","","","","","","",08282298-7ed9-483e-b423-ef83feb6e9b2,""
5.8 Information security in project management,"","","","","","","",ba4616dc-629c-4ba5-8c8f-942008987d50,""
5.9 Inventory of information and other associated assets,"","","","","","","",93de498f-08b1-4655-be6b-36881b8b3787,""
5.1 Acceptable use of information and other associated assets,"","","","","","","",5f18ba3a-371b-4d7c-be79-33cf46eddbd4,""
5.11 Return of Assets,"","","","","","","",ad63f1c9-31f7-4dec-aec3-38dce9950df4,""
5.12 Classification Of Information,"","","","","","","",a16d30a8-579c-4468-a6a6-d0eb18cec360,""
5.13 Labelling of Information,"","","","","","","",a8b5907b-8a40-42e5-b5fe-49225c6f3f5c,""
5.14 Information Transfer,"","","","","","","",4172d0dd-8db1-4175-84fc-d7acdd4edf89,""
5.15 Access Control,"","","","","","","",76d31f52-ed78-4c0d-b432-c5e99f5b6a36,""
5.16 Identity Management,"","","","","","","",0c7d32cb-02c1-4516-afea-435782f3f93c,""
5.17 Authentication information,"","","","","","","",a4156db4-11b2-4f0b-ba5c-3728c5c6f33b,""
5.18 Access rights,"","","","","","","",871f2b2c-dcc6-4553-8d89-17d10e1151a6,""
5.19 Information security in supplier relationships,"","","","","","","",a37517e7-b132-4966-9d5f-077eb8d0bf01,""
5.2 Addressing information security within supplier agreements,"","","","","","","",0300d544-a750-4713-9e06-6919ec378dd4,""
5.21 Managing information security in the ICT supply chain,"","","","","","","",ca761340-f760-4de2-ae18-0a45ed28130b,""
"5.22 Monitoring, review and change management of supplier services","","","","","","","",9515c910-ad89-4932-8a28-60c7dc6618ed,""
5.23 Information security for use of cloud services,"","","","","","","",c775ee0c-6c04-4f51-a820-5a169d08e29f,""
5.24 Information security incident management planning and preparation,"","","","","","","",4bfb1b5b-f671-467a-9304-4e934ca247fb,""
5.25 Assessment and decision on information security events,"","","","","","","",2ed4d3f6-6edb-48e2-8db0-73ef94f1ffd0,""
5.26 Response to information security incidents,"","","","","","","",8575c57d-7f6d-49f6-8ac1-cabed5f65908,""
5.27 Learning from information security incidents,"","","","","","","",10660748-8f42-41a6-a8e6-7c765399b077,""
5.28 Collection of evidence,"","","","","","","",1a456374-7136-443c-a56b-7be01a4ab440,""
5.29 Information security during disruption,"","","","","","","",ad76322b-3937-4ff7-9166-7fc252e25236,""
5.3 ICT readiness for business continuity,"","","","","","","",798f646e-3ceb-4241-8c9c-839d67a9f008,""
"5.31 Legal, statutory, regulatory and contractual requirements","","","","","","","",543718fe-f04f-49ce-9ba6-9098c456b673,""
5.32 Intellectual property rights,"","","","","","","",4cff4283-5233-448f-87ab-e8e4ef0fa809,""
5.33 Protection of records,"","","","","","","",25cb6f84-be43-4141-a8b0-c11b628b8b48,""
5.34 Privacy and protection of PII,"","","","","","","",788453b1-ec64-49b1-84fe-8ecf1982d1c3,""
5.35 Independent review of information security,"","","","","","","",aad44da4-adf7-4aa2-b6c2-93728064e0a7,""
"5.36 Compliance with policies, rules and standards for information security","","","","","","","",91e474a4-efc4-450d-8476-436820300da7,""
5.37 Documented operating procedures,"","","","","","","",91edc4d4-5eea-4047-b030-29c7ec0876bb,""
6 People Controls,"","","","","","","",a362472b-a721-4e50-9edb-7efa7a6c1a7f,""
6.1 Screening,"","","","","","","",56a2f980-d90e-4d46-a914-2b7965b088a0,""
6.2 Terms and conditions of employment,"","","","","","","",9bf8de2c-c6a7-4907-9d3a-83311137bc66,""
"6.3 Information security awareness, education and training","","","","","","","",a12fab43-93b1-46a1-89e2-e217bf8d16f8,""
6.4 Disciplinary process,"","","","","","","",83d0b5b8-df96-49d9-b5fd-a5ea8a2a37f2,""
6.5 Responsibilities after termination or change of employment,"","","","","","","",2fc77d42-86f5-4bc9-b9a4-21b2c3330cb4,""
6.6 Confidentiality or non-disclosure agreements,"","","","","","","",554290a8-5f29-4417-990d-fd51d240a1e5,""
6.7 Remote working,"","","","","","","",30f62e1f-1bab-450c-bc96-f9adbaf342ef,""
6.8 Information security event reporting,"","","","","","","",558793b8-c500-43c3-8c89-69b20b27bd06,""
7 Physical Controls,"","","","","","","",e643b03b-3e82-4aba-a98a-771b28935448,""
7.1 Physical security perimeters,"","","","","","","",ce2732e7-087b-49b2-957d-3c0ff0980c8a,""
7.2 Physical entry,"","","","","","","",bf4698dc-24ee-4d08-bb22-fafc7c627981,""
"7.3 Securing offices, rooms and facilities","","","","","","","",2674f0ce-cd43-40c3-852b-bace3444a855,""
7.4 Physical security monitoring,"","","","","","","",512be530-41e7-4eb3-855f-0bbb8b61ba4f,""
7.5 Protecting against physical and environmental threats,"","","","","","","",7e35a6d9-26e6-4f7b-86f4-59a6b11b40eb,""
7.6 Working in secure areas,"","","","","","","",e9e34d82-7c47-4354-83ee-d0b17988bb5e,""
7.7 Clear desk and clear screen,"","","","","","","",d25a98c3-97dd-4b56-9f08-70f489d45ede,""
7.8 Equipment siting and protection,"","","","","","","",87777750-9700-4dfa-a3e9-9e249d61cf78,""
7.9 Security of assets off-premises,"","","","","","","",45a7a58a-0a4c-4ec5-b69c-23497a13d656,""
7.1 Storage media,"","","","","","","",e2da086f-f07b-415a-8f1b-d2590de2f015,""
7.11 Supporting utilities,"","","","","","","",9501d799-6450-4300-bfaf-51eee9493a9c,""
7.12 Cabling security,"","","","","","","",d980a09f-e33f-49d7-908d-932b21988cc0,""
7.13 Equipment maintenance,"","","","","","","",19f9c236-1f4d-4eda-8521-79f47194274d,""
7.14 Secure disposal or re-use of equipment,"","","","","","","",2f6fd2ed-8b19-40a8-a67e-1ec22738d800,""
8 Technological Controls,"","","","","","","",da02d244-5fc3-4de7-bc87-fac0b8f8ff75,""
8.1 User endpoint devices,"","","","","","","",0832e516-d9f9-4536-903d-bc25418782ba,""
8.2 Privileged access rights,"","","","","","","",5db5bd4e-6bff-415b-93ec-959dde87ded5,""
8.3 Information access restriction,"","","","","","","",f793be40-d8d4-4dd3-8f8f-34ec0ef26c0d,""
8.4 Access to source code,"","","","","","","",95f9643f-c04f-49af-8496-77c84a0f080d,""
8.5 Secure authentication,"","","","","","","",3e5125bd-d4a5-4032-ac28-0a6badffa023,""
8.6 Capacity management,"","","","","","","",7e44f44b-c1fa-4009-9ad0-3a5eeffe256e,""
8.7 Protection against malware,"","","","","","","",36628e88-5c1a-454d-a4e6-4d002c678022,""
8.8 Management of technical vulnerabilities,"","","","","","","",a5f5ca87-2931-479e-beb4-e003a84d0caa,""
8.9 Configuration management,"","","","","","","",276d7ff7-22a6-46e3-b4b4-d8f19ec58d64,""
8.1 Information deletion,"","","","","","","",402cd79c-94bd-44f9-ba38-b7f2749f2c92,""
8.11 Data masking,"","","","","","","",435bdcf7-8450-4c45-ab1c-87cdf3b14e6b,""
8.12 Data leakage prevention,"","","","","","","",53b3ddbf-1e77-4a88-bddd-74bfe63b745a,""
8.13 Information backup,"","","","","","","",45ace102-800a-4e64-9bad-5dedea40909e,""
8.14 Redundancy of information processing facilities,"","","","","","","",c63099c5-2b6f-4203-9dbc-186b3bc9a93c,""
8.15 Logging,"","","","","","","",06c56ec4-0929-4a7e-8347-8f989aa8c651,""
8.16 Monitoring activities,"","","","","","","",4e04d566-e0c6-44a8-906f-a8ebdb1b7bde,""
8.17 Clock synchronization,"","","","","","","",6d01ea4e-0421-4346-ac54-fb07a126e130,""
8.18 Use of privileged utility programs,"","","","","","","",8deadbc7-1916-453a-a096-3bebe93a30b7,""
"8.19 Installation of software on operational
systems","","","","","","","",d486418e-b6ef-425b-94d3-2eb1410aa6c2,""
8.2 Networks security,"","","","","","","",2d0c312c-ba0b-4503-9d7a-23ef1cdd6944,""
8.21 Security of network services,"","","","","","","",a0619659-438e-4d1b-9229-0d58a2e3046b,""
8.22 Segregation of networks,"","","","","","","",e13b1491-e2ea-4164-a545-71130ad15cc2,""
8.23 Web filtering,"","","","","","","",5f60b950-57c8-478c-86e6-d600c2d8de0d,""
8.24 Use of cryptography,"","","","","","","",ae3544a5-fd99-4c02-aa64-39d4f7aaeb3b,""
8.25 Secure development life cycle,"","","","","","","",5cdb8b0b-7986-4392-8203-25b30103c548,""
8.26 Application security requirements,"","","","","","","",256b761f-d738-4ead-b84a-aec610d12cdf,""
"8.27 Secure system architecture and
engineering principles","","","","","","","",867db06d-1cd8-4acc-a80f-733c9fdd2776,""
8.28 Secure coding,"","","","","","","",2686df79-f468-4a8c-8ebe-b012b5101609,""
8.29 Security testing in development and acceptance,"","","","","","","",b6317457-c706-4a03-be0e-7b0bfc661a7c,""
8.3 Outsourced development,"","","","","","","",654c7073-8b2f-41c6-852d-0040141d72bb,""
"8.31 Separation of development, test and production environments","","","","","","","",3f02492c-093a-4828-8287-2288b0703d07,""
8.32 Change management,"","","","","","","",ca662460-17fe-4230-a5c0-945266ee7753,""
8.33 Test information,"","","","","","","",18642628-e63f-4825-a6b3-b8ae2b77610c,""
"8.34 Protection of information
systems during audit testing","","","","","","","",b1685358-dfe8-4cc4-ba5b-a154b7c310f3,""
